cia_imvalores,ingresos_ventas,activos,patrimonio,utilidad_an_imp,impuesto_renta,n_empleados,ingresos_totales,utilidad_ejercicio,total_gastos,ruc,certificada
0.0,266269.0,11133665.94,7339422.27,29861.41,7384.45,27.0,281012.6,35131.07,243981.53,0992501669001,0.0
0.0,104940.3,223278.19,9420.92,170.0,1133.96,6.0,104940.3,200.0,29651.36,0992494654001,0.0
0.0,97576.18,118886.6,113080.93,20211.1,1979.8,4.0,97576.18,23777.77,25793.99,0992497491001,0.0
0.0,258426.75,497942.84,295545.91,0.0,845.04,10.0,258426.75,4050.21,72520.85,0992497300001,0.0
0.0,7.62,3218509.41,3127179.22,942.22,120.0,2.0,14261.07,942.22,13318.85,0992500859001,0.0
0.0,0.0,170892.89,8376.51,0.0,0.0,6.0,0.0,0.0,14537.44,0992483776001,0.0
0.0,18766478.0,3649902.86,1007897.28,-14232591.0,29869.74,4.0,18770893.7,119478.9,4418823.92,0992487682001,0.0
0.0,482833.5,1030859.95,2918.21,2459.24,541.03,22.0,482833.5,2893.22,0.0,0992475765001,0.0
0.0,9502467.6,13012583.12,5124107.79,419032.37,128241.67,27.0,9514979.56,492979.26,769992.42,0992476249001,0.0
0.0,895331.07,391349.25,145956.39,4225.36,427.1,24.0,895331.07,2283.98,337672.96,0992477539001,0.0
0.0,1629776.36,1025053.45,759472.76,0.0,11717.52,16.0,1631320.97,41059.79,61819.56,0992481757001,0.0
0.0,1014501.24,580830.41,330583.01,26494.55,12296.65,31.0,1014502.13,31170.06,62487.93,0992482907001,0.0
0.0,2266953.31,605289.11,108118.34,67166.86,0.0,4.0,2328058.14,67166.86,39110.29,0992468068001,0.0
0.0,948478.55,2699053.68,2531658.54,38816.02,9704.0,9.0,948478.55,45665.9,237047.69,0992469366001,0.0
0.0,20844956.12,15786173.26,3926990.32,4151017.07,1068399.0,221.0,20998336.12,4883549.49,1894315.02,0992459123001,0.0
0.0,31227.78,37765.93,15850.43,11532.35,48.92,6.0,31273.48,11532.35,19741.13,0992463740001,0.0
0.0,0.0,5869.79,5799.79,0.0,0.0,5.0,0.0,0.0,0.0,0992591641001,0.0
0.0,6460.0,1618615.37,1618602.17,0.0,0.0,6.0,108235.75,84785.85,23449.9,0992592729001,0.0
0.0,7261.25,4449019.82,4445783.28,0.0,0.0,6.0,152013.08,87229.14,64783.94,0992590289001,0.0
0.0,1295.0,1737540.26,1736073.93,0.0,0.0,6.0,171174.18,139343.62,31830.56,0992590211001,0.0
0.0,32395.0,2028979.58,2020297.75,0.0,2467.17,4.0,338578.25,303947.54,34630.71,0992590297001,0.0
0.0,1146437.15,900445.69,231617.59,20485.0,7607.63,9.0,1150913.43,24100.0,514304.59,0992566450001,0.0
0.0,1047567.66,630234.36,378556.55,31512.77,6932.81,4.0,1047567.66,37073.85,319317.22,0992568909001,0.0
0.0,298786.7,4592461.4,3072906.62,0.0,20517.43,4.0,369497.69,163888.11,205609.58,0992539992001,0.0
0.0,539080.11,3369251.63,1483235.26,24805.9,5596.6,8.0,539198.25,29183.41,377770.33,0992541253001,0.0
0.0,7530481.82,2404253.57,701642.91,0.0,0.0,160.0,7530481.82,0.0,346910.03,0992542055001,0.0
0.0,887438.28,1552311.49,971041.85,0.0,9078.24,8.0,887438.28,0.0,277107.66,0992556935001,0.0
0.0,4162687.4,5082644.01,801989.09,106950.04,39298.06,42.0,4176686.16,125823.58,354217.25,0992536438001,0.0
0.0,36671.36,304485.64,300768.57,4951.84,1149.4,4.0,36671.36,5825.69,30845.67,0992536675001,0.0
0.0,742399.79,4798009.64,2205221.3,29260.31,7355.06,8.0,918287.59,34423.9,558080.64,2091756407001,0.0
0.0,0.0,4994043.59,4984043.59,3444.44,0.0,4.0,3444.44,-3201.2,6645.64,0992546905001,0.0
0.0,7544757.12,4008938.4,1567996.52,959017.34,247717.16,57.0,7551343.96,1130563.92,222163.85,0992534990001,0.0
